Chromosome,strand,trans-spliced position,percent SL2,binomial exact p-value for the percent SL2,number of reads,number of SL1 reads,number of total SL2 reads (SL2+SL2 variant reads),number of SL2 variant reads,non-trans-spliced reads at this position,"type of trans-splice site (gene, cis, other)",gene name,gene rank (within operon),position of first AUG,average exp of the gene (dcpm),distance to upstream gene 3' end,position of the upstream gene 3' end,length of 5' UTR (trans-splice site to first AUG),position of the closest annotated 5' end,distance from the closest annotated 5' end to trans-splice site,distance from the closest annotated 5' end to first AUG downstream of trans-splice site
I,+,11618,0.00119665,0.0,5014,5008,6,6,0,gene,Y74C9A.2,0,11640,9.13074,0,0,22,11618,0,-22
I,+,47463,0.00413223,0.0,484,482,2,2,0,gene,Y48G1C.12,1,47471,0.498897,2786,44677,8,47472,9,1
I,+,49921,0.907895,3.80872e-27,152,14,138,98,4,gene,Y48G1C.4,2,50450,0.354835,64,49857,529,49919,-2,-531
I,+,71847,0.0,0.0,270,270,0,0,6,gene,Y48G1C.2,1,71987,1.03737,17422,54425,140,71858,11,-129
I,+,72511,0.0,9.86076e-32,103,103,0,0,8,gene,Y48G1C.2,1,72530,1.03737,18086,54425,19,72511,0,-19
I,+,81203,0.901408,4.22302e-36,213,21,192,122,36,gene,Y48G1C.10,2,81222,0.282732,136,81067,19,81234,31,12
I,+,81223,0.8,0.15625,5,1,4,2,616,gene,Y48G1C.10,2,81233,0.282732,156,81067,10,81234,11,1
I,+,86824,0.0,0.25,2,2,0,0,0,gene,Y48G1C.11,3,86840,0.391463,1834,84990,16,86841,17,1
I,+,91404,0.882194,0.0,1477,174,1303,766,471,gene,Y48G1C.9,4,91408,3.26721,731,90673,4,91404,0,-4
I,+,91442,0.926829,4.84761e-09,41,3,38,16,1068,gene,Y48G1C.9,4,91511,3.26721,769,90673,69,91404,-38,-107
I,+,91448,1.0,0.25,2,0,2,0,675,gene,Y48G1C.9,4,91511,3.26721,775,90673,63,91404,-44,-107
I,+,93083,0.0,2.86986e-42,138,138,0,0,205,gene,Y48G1C.1,5,93091,0.562813,363,92720,8,93031,-52,-60
I,+,93108,0.0,5.55112e-17,54,54,0,0,243,gene,Y48G1C.1,5,93181,0.562813,388,92720,73,93031,-77,-150
I,+,111038,0.00154781,0.0,71714,71603,111,92,29,gene,F53G12.10,0,111054,136.399,16157,94881,16,111038,0,-16
I,+,113239,0.1875,0.00854492,16,13,3,3,0,gene,F53G12.13,2,113313,0.107346,927,112312,74,113314,75,1
I,+,127292,0.0384615,3.8743e-07,26,25,1,1,19,gene,F53G12.5,0,127296,3.20451,6396,120896,4,127297,5,1
I,+,128697,0.00580552,0.0,1378,1370,8,8,0,gene,F53G12.5,0,128697,3.20451,7801,120896,0,128697,0,0
I,+,173412,0.0,6.61744e-24,77,77,0,0,2,gene,F56C11.6,0,173421,0.396126,26641,146771,9,173412,0,-9
I,+,178526,0.0,1.45519e-11,36,36,0,0,4,gene,F56C11.5,0,178566,0.826222,2536,175990,40,178538,12,-28
I,+,180390,0.0,0.0,594,594,0,0,41,gene,F56C11.5,0,180393,0.826222,4400,175990,3,180260,-130,-133
I,+,183364,0.0,0.0,174,174,0,0,5,gene,F56C11.4,0,183367,0.29645,1200,182164,3,183364,0,-3
I,+,189645,0.0,0.5,1,1,0,0,1,gene,K10E9.1,0,189646,0.280672,1955,187690,1,189654,9,8
I,+,252114,0.0217391,6.53699e-13,46,45,1,1,3,gene,Y48G1BM.1,0,252118,0.0390798,7602,244512,4,252118,4,0
I,+,280120,0.0,3.38813e-21,68,68,0,0,2,gene,C53D5.3,0,280234,0.30345,25864,254256,114,280120,0,-114
I,+,291216,0.00485437,0.0,206,205,1,1,0,gene,C53D5.1,0,291237,0.589411,5101,286115,21,291216,0,-21
I,+,295336,0.0,7.62939e-06,17,17,0,0,3,gene,C53D5.1,0,295367,0.589411,9221,286115,31,295364,28,-3
I,+,295793,0.0,0.5,1,1,0,0,8,gene,C53D5.1,0,295835,0.589411,9678,286115,42,295793,0,-42
I,+,302596,0.0,6.93889e-18,57,57,0,0,3,gene,C53D5.1,0,302671,0.589411,16481,286115,75,302596,0,-75
I,+,323856,0.0,0.0,187,187,0,0,15,gene,Y48G1A.4,1,323860,0.512686,18393,305463,4,323861,5,1
I,+,332612,0.569492,0.00268844,295,127,168,115,2,gene,Y48G1A.3,2,332613,0.64453,1624,330988,1,332613,1,0
I,+,347504,0.00675676,0.0,296,294,2,2,51,gene,Y48G1A.2,0,347577,0.686447,9664,337840,73,347472,-32,-105
I,+,347511,0.0,2.38419e-07,22,22,0,0,243,gene,Y48G1A.2,0,347577,0.686447,9671,337840,66,347472,-39,-105
I,+,348522,0.581818,0.0518042,55,23,32,29,101,gene,Y48G1A.1,0,348537,0.112655,162,348360,15,348538,16,1
I,+,364520,0.00356718,0.0,841,838,3,3,2,gene,R119.7,0,364521,1.30239,7302,357218,1,364522,2,1
I,+,382831,0.0,0.0,521,521,0,0,31,gene,R119.6,0,382835,0.617139,14547,368284,4,382836,5,1
I,+,398894,0.00276243,0.0,362,361,1,1,5,gene,Y50C1A.1,0,398918,0.903571,10327,388567,24,398894,0,-24
I,+,420929,0.0,5.87747e-39,127,127,0,0,0,gene,C07F11.2,0,420936,0.0705429,8416,412513,7,420925,-4,-11
I,+,444002,0.0162602,7.05579e-34,123,121,2,2,0,gene,C07F11.1,1,444006,0.941942,20284,423718,4,444002,0,-4
I,+,461998,0.426605,0.000346172,436,250,186,99,0,gene,W04C9.4,2,462002,1.86445,390,461608,4,461998,0,-4
I,+,488610,0.00863465,0.0,1853,1837,16,13,18,gene,W04C9.2,0,488618,4.68833,6592,482018,8,488619,9,1
I,+,506474,0.00226831,0.0,3086,3079,7,7,33,gene,Y65B4BL.2,0,506479,1.43483,10318,496156,5,506480,6,1
I,+,506517,0.0,0.00390625,8,8,0,0,364,gene,Y65B4BL.2,0,506588,1.43483,10361,496156,71,506480,-37,-108
I,+,534458,0.0224719,0.0,178,174,4,4,5,gene,Y65B4BR.8,1,534460,1.1496,1144,533314,2,534461,3,1
I,+,535794,0.00572224,0.0,12932,12858,74,64,9,gene,Y65B4BR.5,2,535810,54.9572,447,535347,16,535794,0,-16
I,+,537125,0.172543,0.0,1333,1103,230,194,7,gene,Y65B4BR.4,3,537132,2.75551,457,536668,7,537125,0,-7
I,+,550699,0.0,0.0,156,156,0,0,3,gene,Y65B4BR.3,0,550710,0.709752,8487,542212,11,550711,12,1
I,+,618197,0.0,0.125,3,3,0,0,92,gene,F56A6.1,0,618209,0.173737,32881,585316,12,618210,13,1
I,+,645454,0.0,0.0,213,213,0,0,0,gene,Y65B4A.2,1,645455,0.360179,7603,637851,1,645454,0,-1
I,+,654123,0.0414201,9.20526e-40,169,162,7,5,74,gene,Y65B4A.1,2,654130,0.640065,133,653990,7,654099,-24,-31
I,+,680424,0.0,4.33681e-19,61,61,0,0,4,gene,Y18H1A.11,0,680432,0.193774,21660,658764,8,680433,9,1
I,+,720072,0.0,4.33681e-19,61,61,0,0,136,gene,Y18H1A.6,0,720080,0.301488,28741,691331,8,720014,-58,-66
I,+,745849,0.0,7.62939e-06,17,17,0,0,1,gene,Y18H1A.12,0,745872,0.0284729,3971,741878,23,745755,-94,-117
I,+,745907,0.0,0.125,3,3,0,0,0,gene,Y18H1A.12,0,746138,0.0284729,4029,741878,231,745755,-152,-383
I,+,763776,0.0,0.25,2,2,0,0,31,gene,T06A4.3,0,763809,0.329291,3328,760448,33,763677,-99,-132
I,+,803370,0.0126582,1.30695e-22,79,78,1,0,0,gene,ZC123.3,0,803395,0.690718,27000,776370,25,803370,0,-25
I,+,837998,0.0,6.31089e-30,97,97,0,0,4,gene,ZC123.1,0,837998,0.6685,2701,835297,0,837998,0,0
I,+,853455,0.00441696,0.0,1132,1127,5,5,2,gene,Y95B8A.8,0,853460,0.985459,11707,841748,5,853461,6,1
I,+,884906,0.0,0.5,1,1,0,0,0,gene,Y95B8A.6,0,885044,0.306009,12949,871957,138,884906,0,-138
I,+,886509,0.0,0.5,1,1,0,0,4,gene,Y95B8A.6,0,886538,0.306009,14552,871957,29,886509,0,-29
I,+,897288,0.0,0.0,239,239,0,0,0,gene,Y95B8A.5,0,897291,0.729815,7416,889872,3,897288,0,-3
I,+,938510,0.00255102,0.0,392,391,1,0,138,gene,Y95B8A.2,0,938626,0.872478,27314,911196,116,938485,-25,-141
I,+,989673,0.0,0.0,251,251,0,0,0,gene,F54A5.1,0,989684,0.422422,41961,947712,11,989673,0,-11
I,+,995758,0.0,0.00195312,9,9,0,0,2,gene,C54G6.3,0,995832,0.0344172,3577,992181,74,996047,289,215
I,+,1016407,0.000549451,0.0,16380,16371,9,9,0,gene,C54G6.5,0,1016411,26.0543,5640,1010767,4,1016407,0,-4
I,+,1018837,0.00221117,0.0,1809,1805,4,4,0,gene,Y34D9A.11,0,1018844,1.62865,1659,1017178,7,1018837,0,-7
I,+,1034469,0.0,0.0625,4,4,0,0,92,gene,Y34D9A.3,1,1034474,0.241097,15238,1019231,5,1034474,5,0
I,+,1041476,0.840206,3.21187e-23,194,31,163,136,2,gene,Y34D9A.7,2,1041485,0.363713,612,1040864,9,1041486,10,1
I,+,1049598,0.257418,0.0,2494,1852,642,510,8,gene,Y34D9A.6,3,1049604,5.33125,494,1049104,6,1049596,-2,-8
I,+,1085991,0.0,0.125,3,3,0,0,1,gene,R06A10.1,0,1086391,0.378286,9599,1076392,400,1085970,-21,-421
I,+,1088918,0.333333,0.375,3,2,1,0,6,gene,R06A10.5,0,1089126,0.0702146,317,1088601,208,1089127,209,1
I,+,1089092,0.0,0.5,1,1,0,0,5,gene,R06A10.5,0,1089126,0.0702146,491,1088601,34,1089127,35,1
I,+,1156581,0.0079968,0.0,30012,29772,240,215,8,gene,Y48G8AL.8,1,1156598,115.451,24827,1131754,17,1156581,0,-17
I,+,1157560,0.9,0.00976562,10,1,9,6,1,gene,Y48G8AL.7,2,1157572,0.360859,67,1157493,12,1157571,11,-1
I,+,1157573,0.929688,5.60202e-26,128,9,119,95,42,gene,Y48G8AL.7,2,1157650,0.360859,80,1157493,77,1157571,-2,-79
I,+,1176475,0.00316456,0.0,316,315,1,1,3,gene,Y48G8AL.6,1,1176476,0.750652,13598,1162877,1,1176475,0,-1
I,+,1193160,0.935065,0.0,462,30,432,292,0,gene,Y48G8AL.5,2,1193199,1.33683,2327,1190833,39,1193160,0,-39
I,+,1211487,0.838235,5.1942e-09,68,11,57,44,3,gene,Y48G8AL.1,3,1211496,0.581505,51,1211436,9,1211494,7,-2
I,+,1211494,0.931707,3.27974e-41,205,14,191,145,50,gene,Y48G8AL.1,3,1211496,0.581505,58,1211436,2,1211494,0,-2
I,+,1254771,0.928571,2.10146e-17,84,6,78,59,2,gene,Y48G8AL.15,4,1254777,0.30183,101,1254670,6,1254771,0,-6
I,+,1305563,0.0,4.33681e-19,61,61,0,0,2,gene,K12C11.4,0,1305565,0.614665,17333,1288230,2,1305576,13,11
I,+,1335393,0.0,0.000976562,10,10,0,0,135,gene,K12C11.3,0,1335395,0.182869,1318,1334075,2,1335396,3,1
I,+,1337015,0.00791139,0.0,632,627,5,2,2,gene,K12C11.6,1,1337020,0.80308,147,1336868,5,1337021,6,1
