Unnamed: 0,Unnamed: 1,Unnamed: 2,trans-splice site 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,trans-splice site 2,Unnamed: 8,Unnamed: 9,Unnamed: 10,trans-splice site 3,Unnamed: 12,Unnamed: 13,Unnamed: 14,trans-splice site 4,Unnamed: 16,Unnamed: 17,Unnamed: 18,trans-splice site 5,Unnamed: 20,Unnamed: 21,Unnamed: 22,trans-splice site 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,trans-splice site 7,Unnamed: 28,Unnamed: 29,Unnamed: 30,trans-splice site 8,Unnamed: 32,Unnamed: 33,Unnamed: 34,trans-splice site 9,Unnamed: 36,Unnamed: 37,Unnamed: 38,trans-splice site 10,Unnamed: 40,Unnamed: 41,Unnamed: 42,trans-splice site 11,Unnamed: 44,Unnamed: 45,Unnamed: 46,trans-splice site 12,Unnamed: 48,Unnamed: 49,Unnamed: 50
gene ,chromosome,strand,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant ,position,SL1 reads,SL2 reads (SL2 only no SL2 variant),Sl2 variant 
F45E6.3,X,+,12484975,18,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45E6.2,X,+,12480870,106,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47A7.2,V,-,5198152,263,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y47A7.1,V,+,5204291,52,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y35H6.3,X,-,34439,97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01F4.2,I,-,4867826,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18A3.5,II,-,5714790,2641,1,13,5714774,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZK54.2,X,-,17474447,426,0,2,17473629,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T23G11.4,I,+,7694322,89,69,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T23F11.6,III,-,4647815,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
