chr	source	feature	start	end	score	strand	frame	gene_name	gene_id	gene_version	gene_source	gene_biotype	transcript_id	transcript_source	transcript_biotype	exon_number	exon_id
V	WormBase	gene	180	329	.	+	.	cTel3X.2	WBGene00197333	1	WormBase	ncRNA					
V	WormBase	transcript	180	329	.	+	.	cTel3X.2	WBGene00197333	1	WormBase	ncRNA	cTel3X.2	WormBase	ncRNA		
V	WormBase	exon	180	329	.	+	.	cTel3X.2	WBGene00197333	1	WormBase	ncRNA	cTel3X.2	WormBase	ncRNA	1	cTel3X.2.e1
V	WormBase	gene	180	329	.	-	.	cTel3X.3	WBGene00198386	1	WormBase	ncRNA					
V	WormBase	transcript	180	329	.	-	.	cTel3X.3	WBGene00198386	1	WormBase	ncRNA	cTel3X.3	WormBase	ncRNA		
V	WormBase	exon	180	329	.	-	.	cTel3X.3	WBGene00198386	1	WormBase	ncRNA	cTel3X.3	WormBase	ncRNA	1	cTel3X.3.e1
V	WormBase	gene	1663	6632	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding					
V	WormBase	transcript	1663	6632	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding		
V	WormBase	exon	1663	1782	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	1	B0348.5a.1.e1
V	WormBase	exon	2851	3019	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	2	B0348.5a.1.e2
V	WormBase	CDS	2851	3019	.	+	0	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	2	
V	WormBase	start_codon	2851	2853	.	+	0	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	2	
V	WormBase	exon	5538	5966	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	3	B0348.5a.1.e3
V	WormBase	CDS	5538	5966	.	+	2	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	3	
V	WormBase	exon	6024	6632	.	+	.	B0348.5	WBGene00015153	1	WormBase	protein_coding	B0348.5a.1	WormBase	protein_coding	4	B0348.5a.1.e4
