,chr,source,feature,start,end,score,strand,frame,gene_name,gene_id,gene_version,gene_source,gene_biotype,transcript_id,transcript_source,transcript_biotype,exon_number,exon_id
2,V,WormBase,exon,180,329,.,+,.,cTel3X.2,WBGene00197333,1,WormBase,ncRNA,cTel3X.2,WormBase,ncRNA,1.0,cTel3X.2.e1
5,V,WormBase,exon,180,329,.,-,.,cTel3X.3,WBGene00198386,1,WormBase,ncRNA,cTel3X.3,WormBase,ncRNA,1.0,cTel3X.3.e1
8,V,WormBase,exon,1663,1782,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5a.1,WormBase,protein_coding,1.0,B0348.5a.1.e1
9,V,WormBase,exon,2851,3019,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5a.1,WormBase,protein_coding,2.0,B0348.5a.1.e2
12,V,WormBase,exon,5538,5966,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5a.1,WormBase,protein_coding,3.0,B0348.5a.1.e3
14,V,WormBase,exon,6024,6632,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5a.1,WormBase,protein_coding,4.0,B0348.5a.1.e4
20,V,WormBase,exon,5548,5966,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5b.1,WormBase,protein_coding,1.0,B0348.5b.1.e1
23,V,WormBase,exon,6024,6632,.,+,.,B0348.5,WBGene00015153,1,WormBase,protein_coding,B0348.5b.1,WormBase,protein_coding,2.0,B0348.5a.1.e4
30,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.1,WormBase,protein_coding,1.0,B0348.6a.1.e1
33,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.1,WormBase,protein_coding,2.0,B0348.6a.1.e2
35,V,WormBase,exon,7158,7393,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.1,WormBase,protein_coding,3.0,B0348.6b.1.e3
37,V,WormBase,exon,6588,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.1,WormBase,protein_coding,4.0,B0348.6b.1.e4
43,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.1,WormBase,protein_coding,1.0,B0348.6a.1.e1
46,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.1,WormBase,protein_coding,2.0,B0348.6a.1.e2
48,V,WormBase,exon,7158,7384,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.1,WormBase,protein_coding,3.0,B0348.6a.1.e3
50,V,WormBase,exon,6913,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.1,WormBase,protein_coding,4.0,B0348.6a.1.e4
53,V,WormBase,exon,6589,6754,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.1,WormBase,protein_coding,5.0,B0348.6a.1.e5
58,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.2,WormBase,protein_coding,1.0,B0348.6a.1.e1
61,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.2,WormBase,protein_coding,2.0,B0348.6a.1.e2
63,V,WormBase,exon,7158,7393,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.2,WormBase,protein_coding,3.0,B0348.6b.1.e3
65,V,WormBase,exon,6913,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.2,WormBase,protein_coding,4.0,B0348.6a.1.e4
68,V,WormBase,exon,6589,6754,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6b.2,WormBase,protein_coding,5.0,B0348.6a.1.e5
73,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.1,WormBase,protein_coding,1.0,B0348.6a.1.e1
76,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.1,WormBase,protein_coding,2.0,B0348.6a.1.e2
78,V,WormBase,exon,7158,7390,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.1,WormBase,protein_coding,3.0,B0348.6c.1.e3
80,V,WormBase,exon,6913,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.1,WormBase,protein_coding,4.0,B0348.6a.1.e4
83,V,WormBase,exon,6589,6754,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.1,WormBase,protein_coding,5.0,B0348.6a.1.e5
88,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.2,WormBase,protein_coding,1.0,B0348.6a.1.e1
91,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.2,WormBase,protein_coding,2.0,B0348.6a.1.e2
93,V,WormBase,exon,7158,7384,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.2,WormBase,protein_coding,3.0,B0348.6a.1.e3
95,V,WormBase,exon,6593,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6a.2,WormBase,protein_coding,4.0,B0348.6a.2.e4
101,V,WormBase,exon,7651,7822,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.2,WormBase,protein_coding,1.0,B0348.6a.1.e1
104,V,WormBase,exon,7433,7609,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.2,WormBase,protein_coding,2.0,B0348.6a.1.e2
106,V,WormBase,exon,7158,7390,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.2,WormBase,protein_coding,3.0,B0348.6c.1.e3
108,V,WormBase,exon,6593,7110,.,-,.,ife-3,WBGene00002061,1,WormBase,protein_coding,B0348.6c.2,WormBase,protein_coding,4.0,B0348.6a.2.e4
115,V,WormBase,exon,8575,8739,.,-,.,B0348.10,WBGene00255704,1,WormBase,protein_coding,B0348.10.1,WormBase,protein_coding,1.0,B0348.10.1.e1
121,V,WormBase,exon,13221,13369,.,-,.,B0348.9,WBGene00235314,1,WormBase,ncRNA,B0348.9,WormBase,ncRNA,1.0,B0348.9.e1
122,V,WormBase,exon,12525,12595,.,-,.,B0348.9,WBGene00235314,1,WormBase,ncRNA,B0348.9,WormBase,ncRNA,2.0,B0348.9.e2
125,V,WormBase,exon,20825,21090,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,1.0,B0348.4a.1.e1
128,V,WormBase,exon,22495,22856,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,2.0,B0348.4a.1.e2
130,V,WormBase,exon,23159,23294,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,3.0,B0348.4a.1.e3
132,V,WormBase,exon,23562,23645,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,4.0,B0348.4a.1.e4
134,V,WormBase,exon,23793,23896,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,5.0,B0348.4a.1.e5
136,V,WormBase,exon,24788,25259,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,6.0,B0348.4a.1.e6
138,V,WormBase,exon,25965,26129,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,7.0,B0348.4a.1.e7
140,V,WormBase,exon,26194,26380,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,8.0,B0348.4a.1.e8
142,V,WormBase,exon,28382,28699,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,9.0,B0348.4a.1.e9
144,V,WormBase,exon,29336,29515,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,10.0,B0348.4a.1.e10
146,V,WormBase,exon,30200,30297,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,11.0,B0348.4a.1.e11
148,V,WormBase,exon,35015,35156,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,12.0,B0348.4a.1.e12
150,V,WormBase,exon,36118,36855,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,13.0,B0348.4a.1.e13
152,V,WormBase,exon,36918,37213,.,+,.,egl-8,WBGene00001177,1,WormBase,protein_coding,B0348.4a.1,WormBase,protein_coding,14.0,B0348.4a.1.e14
